
userId,body
u001,'{"userId":"u001","name":"User 001", "email": "user001@social-net.com"}'
u002,'{"userId":"u002","name":"User 002", "email": "user002@social-net.com"}'
u003,'{"userId":"u003","name":"User 003", "email": "user003@social-net.com"}'
u004,'{"userId":"u004","name":"User 004", "email": "user004@social-net.com"}'
u005,'{"userId":"u005","name":"User 005", "email": "user005@social-net.com"}'
u006,'{"userId":"u006","name":"User 006", "email": "user006@social-net.com"}'
u007,'{"userId":"u007","name":"User 007", "email": "user007@social-net.com"}'
u008,'{"userId":"u008","name":"User 008", "email": "user008@social-net.com"}'
u009,'{"userId":"u009","name":"User 009", "email": "user009@social-net.com"}'
u010,'{"userId":"u010","name":"User 010", "email": "user010@social-net.com"}'
u011,'{"userId":"u011","name":"User 011", "email": "user011@social-net.com"}'
u012,'{"userId":"u012","name":"User 012", "email": "user012@social-net.com"}'
u013,'{"userId":"u013","name":"User 013", "email": "user013@social-net.com"}'
u014,'{"userId":"u014","name":"User 014", "email": "user014@social-net.com"}'
u015,'{"userId":"u015","name":"User 015", "email": "user015@social-net.com"}'
u016,'{"userId":"u016","name":"User 016", "email": "user016@social-net.com"}'
u017,'{"userId":"u017","name":"User 017", "email": "user017@social-net.com"}'
u018,'{"userId":"u018","name":"User 018", "email": "user018@social-net.com"}'
u019,'{"userId":"u019","name":"User 019", "email": "user019@social-net.com"}'
u020,'{"userId":"u020","name":"User 020", "email": "user020@social-net.com"}'
u021,'{"userId":"u021","name":"User 021", "email": "user021@social-net.com"}'
u022,'{"userId":"u022","name":"User 022", "email": "user022@social-net.com"}'
u023,'{"userId":"u023","name":"User 023", "email": "user023@social-net.com"}'
u024,'{"userId":"u024","name":"User 024", "email": "user024@social-net.com"}'
u025,'{"userId":"u025","name":"User 025", "email": "user025@social-net.com"}'
u026,'{"userId":"u026","name":"User 026", "email": "user026@social-net.com"}'
u027,'{"userId":"u027","name":"User 027", "email": "user027@social-net.com"}'
u028,'{"userId":"u028","name":"User 028", "email": "user028@social-net.com"}'
u029,'{"userId":"u029","name":"User 029", "email": "user029@social-net.com"}'
u030,'{"userId":"u030","name":"User 030", "email": "user030@social-net.com"}'
u031,'{"userId":"u031","name":"User 031", "email": "user031@social-net.com"}'
u032,'{"userId":"u032","name":"User 032", "email": "user032@social-net.com"}'
u033,'{"userId":"u033","name":"User 033", "email": "user033@social-net.com"}'
u034,'{"userId":"u034","name":"User 034", "email": "user034@social-net.com"}'
u035,'{"userId":"u035","name":"User 035", "email": "user035@social-net.com"}'
u036,'{"userId":"u036","name":"User 036", "email": "user036@social-net.com"}'
u037,'{"userId":"u037","name":"User 037", "email": "user037@social-net.com"}'
u038,'{"userId":"u038","name":"User 038", "email": "user038@social-net.com"}'
u039,'{"userId":"u039","name":"User 039", "email": "user039@social-net.com"}'
u040,'{"userId":"u040","name":"User 040", "email": "user040@social-net.com"}'
u041,'{"userId":"u041","name":"User 041", "email": "user041@social-net.com"}'
u042,'{"userId":"u042","name":"User 042", "email": "user042@social-net.com"}'
u043,'{"userId":"u043","name":"User 043", "email": "user043@social-net.com"}'
u044,'{"userId":"u044","name":"User 044", "email": "user044@social-net.com"}'
u045,'{"userId":"u045","name":"User 045", "email": "user045@social-net.com"}'
u046,'{"userId":"u046","name":"User 046", "email": "user046@social-net.com"}'
u047,'{"userId":"u047","name":"User 047", "email": "user047@social-net.com"}'
u048,'{"userId":"u048","name":"User 048", "email": "user048@social-net.com"}'
u049,'{"userId":"u049","name":"User 049", "email": "user049@social-net.com"}'
u050,'{"userId":"u050","name":"User 050", "email": "user050@social-net.com"}'
u051,'{"userId":"u051","name":"User 051", "email": "user051@social-net.com"}'
u052,'{"userId":"u052","name":"User 052", "email": "user052@social-net.com"}'
u053,'{"userId":"u053","name":"User 053", "email": "user053@social-net.com"}'
u054,'{"userId":"u054","name":"User 054", "email": "user054@social-net.com"}'
u055,'{"userId":"u055","name":"User 055", "email": "user055@social-net.com"}'
u056,'{"userId":"u056","name":"User 056", "email": "user056@social-net.com"}'
u057,'{"userId":"u057","name":"User 057", "email": "user057@social-net.com"}'
u058,'{"userId":"u058","name":"User 058", "email": "user058@social-net.com"}'
u059,'{"userId":"u059","name":"User 059", "email": "user059@social-net.com"}'
u060,'{"userId":"u060","name":"User 060", "email": "user060@social-net.com"}'
